"","std","samp.depth"
"1994",0.020827517335601,1
"1995",0.0370218776444316,3
"1996",0.231102733473007,4
"1997",0.983371377153613,5
"1998",1.01523920256345,6
"1999",0.860237204243938,6
"2000",1.3638908506409,7
"2001",1.24827539105082,7
"2002",1.29864793203604,7
"2003",0.562757167762717,8
"2004",1.29448606328877,8
"2005",0.577924451611329,8
"2006",1.24616304737215,8
"2007",1.45506768229722,8
"2008",1.07995388738956,8
"2009",1.59862718737132,9
"2010",2.06648046278732,10
"2011",1.4701661482949,10
"2012",0.882927761828372,10
"2013",1.11901403857166,10
"2014",1.76916529493781,10
"2015",2.32635586872609,10
"2016",1.53452586777193,10
"2017",1.57700220028399,10
"2018",1.09916647126394,10
"2019",1.7748688213506,10
"2020",1.26194082557676,10
"2021",1.24137565501307,10
"2022",1.16737169921472,10
"2023",2.35302756688251,10
